location,latitude,longitude
Africa,11.5024338,17.7578122
Italy,42.6384261,12.674297
Europe,51.0,10.0
Los Angeles,34.0536909,-118.242766
Europe,51.0,10.0
Washington DC,38.8950368,-77.0365427
Africa,11.5024338,17.7578122
Us,39.7837304,-100.445882
Us,39.7837304,-100.445882
California,36.7014631,-118.755997
New Hampshire,43.4849133,-71.6553992
Arkansas,35.2048883,-92.4479108
Oregon,43.9792797,-120.737257
Missouri,38.7604815,-92.5617875
New Mexico,34.5802074,-105.996047
South Carolina,33.6874388,-80.4363743
New York,40.7127281,-74.0060152
Massachusetts,42.3788774,-72.032366
Florida,27.7567667,-81.4639835
California,36.7014631,-118.755997
Lebanon,40.375713,-76.4626118
Colorado,38.7251776,-105.607716
Texas,31.2638905,-98.5456116
Colorado,38.7251776,-105.607716
Texas,31.2638905,-98.5456116
Colorado,38.7251776,-105.607716
Kinda,57.9946553,15.8926885
Manhattan,40.7896239,-73.9598939
New York,40.7127281,-74.0060152
New York City,40.7127281,-74.0060152
California,36.7014631,-118.755997
United Kingdom,54.7023545,-3.2765753
United Kingdom,54.7023545,-3.2765753
Los Angeles,34.0536909,-118.242766
Japan,36.5748441,139.2394179
South America,-21.0002179,-61.0006565
Africa,11.5024338,17.7578122
Comfort Zone,43.6346897,-79.54203
United Kingdom,54.7023545,-3.2765753
Europe,51.0,10.0
Canada,61.0666922,-107.991707
Mexico,23.6585116,-102.0077097
Canada,61.0666922,-107.991707
United Kingdom,54.7023545,-3.2765753
London,51.4893335,-0.14405508452768728
United Kingdom,54.7023545,-3.2765753
Canada,61.0666922,-107.991707
Kinda,57.9946553,15.8926885
Europe,51.0,10.0
United Kingdom,54.7023545,-3.2765753
Texas,31.2638905,-98.5456116
United Kingdom,54.7023545,-3.2765753
Africa,11.5024338,17.7578122
United Kingdom,54.7023545,-3.2765753
Canada,61.0666922,-107.991707
United Kingdom,54.7023545,-3.2765753
Canada,61.0666922,-107.991707
Helpline,48.1499855,11.4427019
America,39.7837304,-100.445882
Asia,51.2086975,89.2343748
New York,40.7127281,-74.0060152
Europe,51.0,10.0
United Kingdom,54.7023545,-3.2765753
Us,39.7837304,-100.445882
Kinda,57.9946553,15.8926885
Tennessee,35.7730076,-86.2820081
Toronto,43.6534817,-79.3839347
South America,-21.0002179,-61.0006565
China,35.0000663,104.999955
South America,-21.0002179,-61.0006565
South America,-21.0002179,-61.0006565
United Kingdom,54.7023545,-3.2765753
Chicago,41.8755616,-87.6244212
South America,-21.0002179,-61.0006565
South America,-21.0002179,-61.0006565
United Kingdom,54.7023545,-3.2765753
United Kingdom,54.7023545,-3.2765753
South America,-21.0002179,-61.0006565
South America,-21.0002179,-61.0006565
Netherlands,52.2434979,5.6343227
Kinda,57.9946553,15.8926885
Kinda,57.9946553,15.8926885
South Carolina,33.6874388,-80.4363743
Florida,27.7567667,-81.4639835
Kinda,57.9946553,15.8926885
Kinda,57.9946553,15.8926885
South America,-21.0002179,-61.0006565
America,39.7837304,-100.445882
Mexico,23.6585116,-102.0077097
South America,-21.0002179,-61.0006565
Florida,27.7567667,-81.4639835
Venezuela,8.0018709,-66.1109318
Latin America,42.3739168,-71.11066769180692
Europe,51.0,10.0
North India,37.787747,-122.3992384
India,22.3511148,78.6677428
Fort,25.3851063,86.46769912015446
Canada,61.0666922,-107.991707
Spain,39.3260685,-4.8379791
Canada,61.0666922,-107.991707
California,36.7014631,-118.755997
United Kingdom,54.7023545,-3.2765753
Switzerland,46.7985624,8.2319736
Texas,31.2638905,-98.5456116
Turkey,39.294076,35.2316631
Us,39.7837304,-100.445882
Kinda,57.9946553,15.8926885
New York,40.7127281,-74.0060152
New York City,40.7127281,-74.0060152
Kinda,57.9946553,15.8926885
United Kingdom,54.7023545,-3.2765753
Uk,6.3110548,20.5447525
Los Angeles,34.0536909,-118.242766
Thailand,14.8971921,100.83273
Kinda,57.9946553,15.8926885
