location,latitude,longitude,standard_location
Africa,11.5024338,17.7578122,Africa
Italy,42.6384261,12.674297,Italy
Europe,51.0,10.0,Europe
Los Angeles,34.0536909,-118.242766,Los Angeles
Europe,51.0,10.0,Europe
Washington DC,38.8950368,-77.0365427,Washington DC
Africa,11.5024338,17.7578122,Africa
Us,39.7837304,-100.445882,United States of America
Us,39.7837304,-100.445882,United States of America
California,36.7014631,-118.755997,California
New Hampshire,43.4849133,-71.6553992,New Hampshire
Arkansas,35.2048883,-92.4479108,Arkansas
Oregon,43.9792797,-120.737257,Oregon
Missouri,38.7604815,-92.5617875,Missouri
New Mexico,34.5802074,-105.996047,Mexico
South Carolina,33.6874388,-80.4363743,South Carolina
New York,40.7127281,-74.0060152,New York
Massachusetts,42.3788774,-72.032366,Massachusetts
Florida,27.7567667,-81.4639835,Florida
California,36.7014631,-118.755997,California
Lebanon,40.375713,-76.4626118,Lebanon
Colorado,38.7251776,-105.607716,Colorado
Texas,31.2638905,-98.5456116,Texas
Colorado,38.7251776,-105.607716,Colorado
Texas,31.2638905,-98.5456116,Texas
Colorado,38.7251776,-105.607716,Colorado
Kinda,57.9946553,15.8926885,Unknown
Manhattan,40.7896239,-73.9598939,Manhattan
New York,40.7127281,-74.0060152,New York
New York City,40.7127281,-74.0060152,New York
California,36.7014631,-118.755997,California
United Kingdom,54.7023545,-3.2765753,United Kingdom
United Kingdom,54.7023545,-3.2765753,United Kingdom
Los Angeles,34.0536909,-118.242766,Los Angeles
Japan,36.5748441,139.2394179,Japan
South America,-21.0002179,-61.0006565,South America
Africa,11.5024338,17.7578122,Africa
Comfort Zone,43.6346897,-79.54203,Unknown
United Kingdom,54.7023545,-3.2765753,United Kingdom
Europe,51.0,10.0,Europe
Canada,61.0666922,-107.991707,Canada
Mexico,23.6585116,-102.0077097,Mexico
Canada,61.0666922,-107.991707,Canada
United Kingdom,54.7023545,-3.2765753,United Kingdom
London,51.4893335,-0.1440550845276872,London
United Kingdom,54.7023545,-3.2765753,United Kingdom
Canada,61.0666922,-107.991707,Canada
Kinda,57.9946553,15.8926885,Unknown
Europe,51.0,10.0,Europe
United Kingdom,54.7023545,-3.2765753,United Kingdom
Texas,31.2638905,-98.5456116,Texas
United Kingdom,54.7023545,-3.2765753,United Kingdom
Africa,11.5024338,17.7578122,Africa
United Kingdom,54.7023545,-3.2765753,United Kingdom
Canada,61.0666922,-107.991707,Canada
United Kingdom,54.7023545,-3.2765753,United Kingdom
Canada,61.0666922,-107.991707,Canada
Helpline,48.1499855,11.4427019,Helpline
America,39.7837304,-100.445882,United States of America
Asia,51.2086975,89.2343748,Asia
New York,40.7127281,-74.0060152,New York
Europe,51.0,10.0,Europe
United Kingdom,54.7023545,-3.2765753,United Kingdom
Us,39.7837304,-100.445882,United States of America
Kinda,57.9946553,15.8926885,Unknown
Tennessee,35.7730076,-86.2820081,Tennessee
Toronto,43.6534817,-79.3839347,Toronto
South America,-21.0002179,-61.0006565,South America
China,35.0000663,104.999955,China
South America,-21.0002179,-61.0006565,South America
South America,-21.0002179,-61.0006565,South America
United Kingdom,54.7023545,-3.2765753,United Kingdom
Chicago,41.8755616,-87.6244212,Chicago
South America,-21.0002179,-61.0006565,South America
South America,-21.0002179,-61.0006565,South America
United Kingdom,54.7023545,-3.2765753,United Kingdom
United Kingdom,54.7023545,-3.2765753,United Kingdom
South America,-21.0002179,-61.0006565,South America
South America,-21.0002179,-61.0006565,South America
Netherlands,52.2434979,5.6343227,Netherlands
Kinda,57.9946553,15.8926885,Unknown
Kinda,57.9946553,15.8926885,Unknown
South Carolina,33.6874388,-80.4363743,South Carolina
Florida,27.7567667,-81.4639835,Florida
Kinda,57.9946553,15.8926885,Unknown
Kinda,57.9946553,15.8926885,Unknown
South America,-21.0002179,-61.0006565,South America
America,39.7837304,-100.445882,United States of America
Mexico,23.6585116,-102.0077097,Mexico
South America,-21.0002179,-61.0006565,South America
Florida,27.7567667,-81.4639835,Florida
Venezuela,8.0018709,-66.1109318,Venezuela
Latin America,42.3739168,-71.11066769180692,Latin America
Europe,51.0,10.0,Europe
North India,37.787747,-122.3992384,India
India,22.3511148,78.6677428,India
Fort,25.3851063,86.46769912015446,Fort
Canada,61.0666922,-107.991707,Canada
Spain,39.3260685,-4.8379791,Spain
Canada,61.0666922,-107.991707,Canada
California,36.7014631,-118.755997,California
United Kingdom,54.7023545,-3.2765753,United Kingdom
Switzerland,46.7985624,8.2319736,Switzerland
Texas,31.2638905,-98.5456116,Texas
Turkey,39.294076,35.2316631,Turkey
Us,39.7837304,-100.445882,United States of America
Kinda,57.9946553,15.8926885,Unknown
New York,40.7127281,-74.0060152,New York
New York City,40.7127281,-74.0060152,New York
Kinda,57.9946553,15.8926885,Unknown
United Kingdom,54.7023545,-3.2765753,United Kingdom
Uk,6.3110548,20.5447525,United Kingdom
Los Angeles,34.0536909,-118.242766,Los Angeles
Thailand,14.8971921,100.83273,Thailand
Kinda,57.9946553,15.8926885,Unknown
